Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6;Trq1;Trq2;Trq3;Trq4;Trq5;Trq6
758749;0;-16.818924;-96.865021;97.655685;13.181297;90.414467;-143.840820;4.813190;-6.492610;-23.499893;14.154901;-3.244875;-0.054825;-151.375000;204.250000;-522.125000;-75.976669;-17.243765;0.083250
758773;0;-18.699938;-94.663246;95.635094;11.943036;90.298988;-143.840820;17.743111;-30.538555;-26.814592;10.693063;-4.954337;-0.007150;-558.375000;961.125000;-595.750000;-57.423332;-26.359411;0.000000
758797;0;-20.503078;-92.288689;93.386513;11.046708;90.107811;-143.840820;35.630226;-51.776886;-35.747799;13.282288;-8.325575;0.002375;-1121.375000;1629.625000;-794.250000;-71.300003;-44.286850;0.000000
758821;0;-22.493269;-89.476051;90.678268;10.268567;89.838326;-143.840820;53.513527;-66.005707;-43.152401;16.407963;-10.225762;-0.004763;-1684.250000;2077.500000;-958.750000;-88.089996;-54.390022;0.000000
758845;0;-24.791433;-86.189423;87.505196;9.412682;89.515327;-143.840836;57.241432;-63.813202;-43.337685;17.986288;-9.341238;-0.007150;-1801.625000;2008.500000;-962.875000;-96.599998;-49.680271;0.000000
758869;0;-27.306005;-82.594368;84.034576;8.475027;89.162231;-143.840836;56.865692;-51.683426;-38.683750;19.986626;-7.145401;0.026225;-1789.750000;1626.625000;-859.500000;-107.333336;-37.981861;-0.027750
758893;0;-29.913111;-78.866989;80.436203;7.502908;88.796135;-143.840836;47.070499;-39.375305;-34.561157;18.060200;-5.164137;0.035763;-1481.500000;1239.250000;-767.875000;-96.983330;-27.422903;-0.055500
758917;0;-32.532146;-75.122551;76.821365;6.526340;88.428360;-143.840851;45.508377;-33.642765;-33.442627;16.992088;-4.467963;0.076288;-1432.375000;1058.875000;-743.000000;-91.233330;-23.776644;-0.138750
758941;0;-35.147873;-71.382843;73.211090;5.551005;88.061058;-143.840851;44.337269;-29.838558;-34.995758;17.719263;-7.042875;0.057213;-1395.500000;939.125000;-777.500000;-95.143333;-37.450115;-0.111000
758965;0;-37.721687;-67.703056;69.658661;4.591299;87.699631;-143.840851;41.251179;-22.310255;-31.465799;17.788401;-7.092950;0.007150;-1298.375000;702.125000;-699.125000;-95.526665;-37.753967;0.000000
758989;0;-40.171043;-64.201218;66.278023;3.678000;87.355690;-143.840851;30.904764;-7.898330;-27.991699;16.384113;-2.591600;0.000000;-972.625000;248.500000;-621.875000;-88.013336;-13.749434;0.000000
759013;0;-42.407444;-61.003830;63.191299;2.844105;87.041649;-143.840866;14.277455;4.513740;-25.566643;13.768662;-3.345013;0.004763;-449.375000;-142.000000;-568.000000;-73.906670;-17.775511;0.000000
759037;0;-44.343914;-58.235260;60.518551;2.122048;86.769722;-143.840866;1.184460;15.904425;-22.175650;10.952938;-4.632463;0.000000;-37.250000;-500.500000;-492.625000;-58.803333;-24.612246;0.000000
